canonical_smiles,pert_id,dummy
COc1cc2CCN(Cc3ccc(o3)[N+](=O)[O-])C(c4cccs4)c2cc1O,BRD-A13914662,1
CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C/c1ccc(cc1)S(C)=O,BRD-A13946108,1
OC12C3C4C5C3C(C3C5CC4C13)N2CCc1cccc(F)c1,BRD-A13964793,1
C[N+](C)(C)CC(O)c1ccc(O)c(O)c1,BRD-A13982089,1
CC1=NN(C(=O)C1Cc2ccccc2)c3nc4ccccc4[nH]3,BRD-A14014306,1
C[C@H]1O[C@@H](O[C@H]2CC[C@@]3(C)C(CC[C@]4(C)C3C=C[C@@]56OC[C@@]7(CCC(C)(C)C[C@H]76)[C@@H](O)C[C@]54C)[C@]2(C)CO)[C@H](O[C@@H]8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O[C@@H]9O[C@H](CO)[C@@H](O[C@@H]%10O[C@H](CO)[C@@H](O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H]1O,BRD-A14178283,1
CC[N+](C)(CC)CCOC(=O)C(O)(C1CCCCC1)c1ccccc1,BRD-A14208071,1
NCC(O)c1ccc(O)cc1,BRD-A14240607,1
CN1CCCCC1CCN1c2ccccc2Sc2ccc(cc12)S(C)=O,BRD-A14395271,1
CN1C2CC(CC1C3OC32)OC(=O)C(CO)c4ccccc4,BRD-A14566392,1
Clc1ccc(cn1)C1=CCCC2CCC1N2,BRD-A14574269,1
CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]2OP(O)(=O)OC[C@@H]2[C@H]1OC(=O)CCC,BRD-A14652656,1
CCCCC(=O)N(Cc1ccc(cc1)-c1ccccc1-c1nn[nH]n1)C(C(C)C)C(O)=O,BRD-A14792000,1
CC(N)C(O)c1ccccc1Cl,BRD-A14795281,1
COc1ccc2C3CC[C@@]4(C)C(CC[C@@]4(O)C#C)C3CCc2c1,BRD-A14798026,1
CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1,BRD-A14966924,1
Cc1cccc(c1)C2CN(CC=C)CCc3c(Cl)c(O)c(O)cc23,BRD-A14969012,1
CCCCCCCCCCCCCCCC(=O)OCC(O)[C@H]1OC(=O)C(=O)C1O,BRD-A14985772,1
CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O,BRD-A14999564,1
CCCCCCC(C)(C)c1cc(O)c2[C@H]3CC(CO)=CCC3C(C)(C)Oc2c1,BRD-A15010982,1
COc1c(O)cc2C(=O)OC3C(O)C(O)C(CO)OC3c2c1O,BRD-A15034104,1
CCCC(=O)Nc1ncnc2n(cnc12)[C@@H]3O[C@@H]4OP(=O)(O)OC[C@H]4[C@H]3OC(=O)CCC,BRD-A15070535,1
CCCCCCCCCCCCCC(=O)OC1C(C)C2(O)C3C=C(C)C(=O)C3(O)CC(=CC2C4C(C)(C)C41OC(=O)C)CO,BRD-A15079084,1
CC1O[C@@H](OCC2O[C@@H](O[C@H]3CC[C@@]4(C)C(CC[C@]5(C)C4CC=C4C6CC(C)(C)[C@H](C[C@@]6([C@H](O)C[C@@]54C)C(=O)O[C@@H]4OC(CO)[C@@H](O)[C@@H](O)[C@@H]4O[C@@H]4OC(C)[C@H](O[C@@H]5O[C@@H](CO)[C@H](O)[C@@H]5O)[C@@H](O[C@@H]5OC(CO)[C@@H](O)[C@@H](O)[C@@H]5O)[C@@H]4O)OC(=O)C(\CO)=C\CC[C@](C)(O[C@@H]4OC(C)[C@@H](OC(=O)C(\CO)=C\CCC(C)(O)C=C)[C@@H](O)[C@@H]4O)C=C)C3(C)C)[C@@H](NC(C)=O)[C@H](O)[C@@H]2O)[C@@H](O[C@@H]2OC[C@@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H]1O,BRD-A15100685,1
Clc1ccc(cc1Cl)C2Nc3ccccc3O2,BRD-A15113563,1
CCOC(=O)C(CCc1ccccc1)NC2CCc3ccccc3N(CC(=O)O)C2=O,BRD-A15131297,1
