TCGA Up,TCGA Up Name,VPC Up,TCGA Down,TCGA Down Name,VPC Down,Consensus Up,Consensus Down
283212,KLHL35,,10164,CHST4,,,
43849,KLK12,,4166,CHST6,,,
43847,KLK14,,83539,CHST9,,,
55554,KLK15,,63924,CIDEC,,,
3817,KLK2,,4435,CITED1,,,
354,KLK3,,1158,CKM,,,
9622,KLK4,,1160,CKMT2,,,
606293,KLKP1,,9635,CLCA2,,,
3849,KRT2,,22802,CLCA4,,,
54474,KRT20,,1188,CLCNKB,,,
387264,KRTAP5-1,,5010,CLDN11,,,
10715,LASS1,,10686,CLDN16,,,
94059,LENG9,,149461,CLDN19,,,
3955,LFNG,,9075,CLDN2,,,
26468,LHX6,,10143,CLEC3A,,,
645191,LINGO3,,7123,CLEC3B,,,
4010,LMX1B,,283420,CLEC9A,,,
100128675,LOC100128675,,9022,CLIC3,,,
100128788,LOC100128788,,25932,CLIC4,,,
100128842,LOC100128842,,54102,CLIC6,,,
100129066,LOC100129066,,25999,CLIP3,,,
100130872,LOC100130872,,79745,CLIP4,,,
100131434,LOC100131434,,64084,CLSTN2,,,
100133612,LOC100133612,,1191,CLU,,,
100144604,LOC100144604,,134829,CLVS2,,,
100272228,LOC100272228,,116173,CMTM5,,,
100287718,LOC100287718,,202333,CMYA5,,,
145837,LOC145837,,1264,CNN1,,,
149134,LOC149134,,1268,CNR1,,,
153328,LOC153328,,1271,CNTFR,,,
286467,LOC286467,,1272,CNTN1,,,
338799,LOC338799,,6900,CNTN2,,,
339674,LOC339674,,85445,CNTNAP4,,,
389332,LOC389332,,1690,COCH,,,
391322,LOC391322,,1305,COL13A1,,,
399815,LOC399815,,1308,COL17A1,,,
400696,LOC400696,,1310,COL19A1,,,
440905,LOC440905,,81578,COL21A1,,,
644165,LOC644165,,91522,COL23A1,,,
647309,LOC647309,,85301,COL27A1,,,
728606,LOC728606,,1288,COL4A6,,,
728875,LOC728875,,1297,COL9A1,,,
57622,LRFN1,,10584,COLEC10,,,
136332,LRGUK,,51226,COPZ2,,,
26018,LRIG1,,10391,CORO2B,,,
389816,LRRC26,,1346,COX7A1,,,
55282,LRRC36,,1357,CPA1,,,
115399,LRRC56,,57094,CPA6,,,
57554,LRRC7,,27151,CPAMD8,,,
338645,LUZP2,,64506,CPEB1,,,
4117,MAK,,57699,CPNE5,,,
23542,MAPK8IP2,,9362,CPNE6,,,
441061,MARCH11,,56265,CPXM1,,,
65108,MARCKSL1,,1381,CRABP1,,,
4145,MATK,,1382,CRABP2,,,
4151,MB,,23418,CRB1,,,
129642,MBOAT2,,1393,CRHBP,,,
55388,MCM10,,401262,CRIP3,,,
255231,MCOLN2,,167,CRISP1,,,
9833,MELK,,7180,CRISP2,,,
55897,MESP1,,55118,CRTAC1,,,
92312,MEX3A,,1410,CRYAB,,,
146664,MGAT5B,,1440,CSF3,,,
84983,MGC14436,,1464,CSPG4,,,
51237,MGC29506,,80034,CSRNP3,,,
256227,MGC87042,,1465,CSRP1,,,
55586,MIOX,,1472,CST4,,,
407975,MIR17HG,,1475,CSTA,,,
4288,MKI67,,1489,CTF1,,,
79682,MLF1IP,,1510,CTSE,,,
4319,MMP10,,83992,CTTNBP2,,,
4320,MMP11,,2919,CXCL1,,,
56547,MMP26,,10563,CXCL13,,,
4318,MMP9,,284340,CXCL17,,,
3110,MNX1,,6374,CXCL5,,,
54456,MOV10L1,,6372,CXCL6,,,
51678,MPP6,,3577,CXCR1,,,
83661,MS4A8B,,3579,CXCR2,,,
4439,MSH5,,55086,CXorf57,,,
4440,MSI1,,1583,CYP11A1,,,
151507,MSL3L2,,1588,CYP19A1,,,
4583,MUC2,,1591,CYP24A1,,,
255275,MYADML2,,56603,CYP26B1,,,
4605,MYBL2,,1593,CYP27A1,,,
4604,MYBPC1,,339761,CYP27C1,,,
64005,MYO1G,,1556,CYP2B7P1,,,
283446,MYO1H,,54905,CYP2W1,,,
25924,MYRIP,,1577,CYP3A5,,,
64151,NCAPG,,1551,CYP3A7,,,
23397,NCAPH,,1580,CYP4B1,,,
100188954,NCRNA00093,,66002,CYP4F12,,,
80161,NCRNA00105,,8529,CYP4F2,,,
283981,NCRNA00107,,126410,CYP4F22,,,
79854,NCRNA00115,,4051,CYP4F3,,,
284739,NCRNA00176,,57105,CYSLTR2,,,
283131,NEAT1,,54360,CYTL1,,,
55247,NEIL3,,27065,D4S234E,,,
4751,NEK2,,23500,DAAM2,,,
341676,NEK5,,1600,DAB1,,,
81832,NETO1,,92196,DAPL1,,,
81831,NETO2,,27071,DAPP1,,,
4807,NHLH1,,1620,DBC1,,,
79570,NKAIN1,,55861,DBNDD2,,,
7080,NKX2-1,,139170,DCAF12L1,,,
4821,NKX2-2,,340578,DCAF12L2,,,
159296,NKX2-3,,1630,DCC,,,
4824,NKX3-1,,54798,DCHS2,,,
4825,NKX6-1,,1634,DCN,,,
91662,NLRP12,,54541,DDIT4,,,
126205,NLRP8,,115265,DDIT4L,,,
8715,NOL4,,8528,DDO,,,
50507,NOX4,,4921,DDR2,,,
8620,NPFF,,29118,DDX25,,,
283869,NPW,,1672,DEFB1,,,
7101,NR2E1,,400830,DEFB132,,,
155400,NSUN5P1,,163259,DENND2C,,,
260294,NSUN5P2,,91614,DEPDC7,,,
254552,NUDT8,,1674,DES,,,
83540,NUF2,,1608,DGKG,,,
23225,NUP210,,112817,DHDPSL,,,
284451,ODF3L2,,729582,DIRC3,,,
11339,OIP5,,85458,DIXDC1,,,
116448,OLIG1,,22943,DKK1,,,
9480,ONECUT2,,27122,DKK3,,,
79290,OR13A1,,8788,DLK1,,,
143503,OR51E1,,65989,DLK2,,,
81285,OR51E2,,1747,DLX3,,,
119695,OR52R1,,1755,DMBT1,,,
200931,OSTalpha,,11144,DMC1,,,
5013,OTX1,,1756,DMD,,,
5026,P2RX5,,93099,DMKN,,,
5032,P2RY11,,10655,DMRT2,,,
80336,PABPC1L,,8701,DNAH11,,,
340529,PABPC1L2A,,11080,DNAJB4,,,
645974,PABPC1L2B,,25822,DNAJB5,,,
79957,PAQR6,,29103,DNAJC15,,,
5075,PAX1,,1776,DNASE1L3,,,
55872,PBK,,92737,DNER,,,
50652,PCA3,,1795,DOCK3,,,
56147,PCDHA1,,55715,DOK4,,,
56146,PCDHA2,,285489,DOK7,,,
56140,PCDHA8,,1804,DPP6,,,
56133,PCDHB2,,1805,DPT,,,
56128,PCDHB8,,349152,DPY19L2P2,,,
56127,PCDHB9,,1806,DPYD,,,
56104,PCDHGB1,,1807,DPYS,,,
5046,PCSK6,,1809,DPYSL3,,,
5140,PDE3B,,1812,DRD1,,,
64714,PDIA2,,1813,DRD2,,,
10611,PDLIM5,,1825,DSC3,,,
112885,PHF21B,,57453,DSCAML1,,,
644844,PHGR1,,1830,DSG3,,,
5570,PKIB,,147409,DSG4,,,
9088,PKMYT1,,667,DST,,,
51365,PLA1A,,1837,DTNA,,,
5320,PLA2G2A,,53905,DUOX1,,,
26279,PLA2G2D,,50506,DUOX2,,,
7941,PLA2G7,,90527,DUOXA1,,,
153770,PLAC8L1,,405753,DUOXA2,,,
84069,PLEKHN1,,128853,DUSP15,,,
5347,PLK1,,142679,DUSP19,,,
56937,PMEPA1,,1844,DUSP2,,,
375775,PNPLA7,,1846,DUSP4,,,
50512,PODXL2,,1780,DYNC1I1,,,
353497,POLN,,22873,DZIP1,,,
10721,POLQ,,60401,EDA2R,,,
64208,POPDC3,,10913,EDAR,,,
5462,POU5F1B,,10876,EDDM3A,,,
5475,PPEF1,,64184,EDDM3B,,,
22843,PPM1E,,10085,EDIL3,,,
26472,PPP1R14B,,1908,EDN3,,,
5540,PPYR1,,1909,EDNRA,,,
84366,PRAC,,1910,EDNRB,,,
23532,PRAME,,79645,EFCAB1,,,
9055,PRC1,,2202,EFEMP1,,,
59335,PRDM12,,30008,EFEMP2,,,
10216,PRG4,,286097,EFHA2,,,
8858,PROZ,,80258,EFHC2,,,
51334,PRR16,,80303,EFHD1,,,
163154,PRR22,,1946,EFNA5,,,
80758,PRR7,,1947,EFNB1,,,
57540,PTCHD2,,1949,EFNB3,,,
11156,PTP4A3,,10278,EFS,,,
5801,PTPRR,,25975,EGFL6,,,
11122,PTPRT,,100126791,EGOT,,,
9232,PTTG1,,30846,EHD2,,,
5820,PVT1,,493861,EID3,,,
5831,PYCR1,,1995,ELAVL3,,,
84074,QRICH2,,2000,ELF4,,,
64284,RAB17,,55531,ELMOD1,,,
401409,RAB19,,90187,EMILIN3,,,
25837,RAB26,,2018,EMX2,,,
